Name,Age,Nationality,Position,Old_Club,New_Club,Fee,Minutes_This_Season,Minutes_Last_season,Standing_Last_Season,Standing_This_Season,Passes,Assists,Goals,Yellow_Card,Red_Card,Kg,Height,Remaining contract,Titles
Declan Rice,24,England Ireland,Central Midfield,West Ham United,Arsenal FC,€116.60m,2825,4274,2,2,0,8,7,7,0,80,188,5,3
Kai Havertz,24,Germany,Centre-Forward,Chelsea FC,Arsenal FC,€75.00m,0,3827,2,0,0,8,14,4,0,82,193,24,4
Jurriën Timber,22,Netherlands Curacao,Right-Back,Ajax Amsterdam,Arsenal FC,€40.00m,3680,262,2,0,0,0,1,3,0,78.92,179,23.5,6
David Raya,27,Spain,Goalkeeper,Brentford FC,Arsenal FC,€3.50m,3420,3720,2,2,764,0,0,2,0,78.9,183,13.4,2
Nuno Tavares,23,Portugal Cape Verde,Left-Back,Olympique Marseille,Arsenal FC,End of loan,1686,698,17,0,0,0,0,3,0,75,183,35,1
Cédric Soares,31,Portugal Germany,Right-Back,Fulham FC,Arsenal FC,End of loan,1147,3,2,0,0,0,0,0,0,67,172,undefined,4
Arthur Okonkwo,21,England Nigeria,Goalkeeper,SK Sturm Graz,Arsenal FC,End of loan,0,0,0,0,0,0,0,0,0,84,198,0,2
Nicolas Pépé,28,Cote d'Ivoire France,Right Winger,OGC Nice,Arsenal FC,End of loan,1500,1121,2,0,0,2,5,0,0,73,183,undefined,3
Rúnar Alex Rúnarsson,28,Iceland,Goalkeeper,Alanyaspor,Arsenal FC,End of loan,0,810,8,0,0,0,0,1,0,76,186,0,4
Arthur Okonkwo,22,England Nigeria,Goalkeeper,Wrexham AFC,Arsenal FC,End of loan,3150,3465,2,19,0,0,0,0,0,84,198,undefined,2
Albert Sambi Lokonga,24,Belgium DR Congo,Central Midfield,Luton Town,Arsenal FC,End of loan,0,0,0,0,0,0,0,0,0,73,183,0,3
Pablo Marí,29,Spain,Centre-Back,AC Monza,Arsenal FC,End of loan,0,0,0,0,0,0,0,0,0,87,193,undefined,3
Folarin Balogun,21,United States England,Centre-Forward,Stade Reims,Arsenal FC,End of loan,613,1943,0,0,0,7,8,1,0,66,178,undefined,2
Folarin Balogun,22,United States England,Centre-Forward,Arsenal FC,AS Monaco,€30.00m,0,1692,2,0,263,5,7,0,0,73,178,22,2
Granit Xhaka,30,Switzerland,Defensive Midfield,Arsenal FC,Bayer 04 Leverkusen,€15.00m,0,4157,1,2,3020,2,4,7,0,80,186,undefined,14
Matt Turner,29,United States Lithuania,Goalkeeper,Arsenal FC,Nottingham Forest,€8.15m,0,0,0,0,0,0,0,0,0,79.82,190.5,undefined,6
Pablo Marí,29,Spain,Centre-Back,Arsenal FC,AC Monza,€6.20m,1629,2616,12,20,1581,0,0,7,0,87,193,22,3
Auston Trusty,24,United States,Centre-Back,Arsenal FC,Sheffield United,€5.80m,49,2572,20,3,0,0,0,4,0,84,191,undefined,4
Kieran Tierney,26,Scotland Isle of Man,Left-Back,Arsenal FC,Real Sociedad,€1.40m,447,1497,6,0,0,2,0,0,0,69,178,34,14
Rob Holding,27,England,Centre-Back,Arsenal FC,Crystal Palace,€1.20m,0,0,10,12,0,0,0,0,0,81.6,189,9,5
Nuno Tavares,23,Portugal Cape Verde,Left-Back,Arsenal FC,Nottingham Forest,€1.15m,1686,455,17,0,0,0,0,2,0,75,183,70,1
Marquinhos,20,Brazil,Right Winger,Arsenal FC,FC Nantes,€0.30m,0,150,14,0,0,1,0,0,0,77,175,46.6,undefined
Ainsley Maitland-Niles,25,England Jamaica,Right-Back,Arsenal FC,Olympique Lyon,free transfer,0,1774,6,0,0,4,2,1,1,71,180,0,7
